"Hydroxyphenylethylamine nodes and edges",,,,,,
"3213 (pp) 3263","pp","3213 (pp) 3263","pp",0.976714,-128.232,"3213 (pp) 3263"
"3172 (pp) 3263","pp","3172 (pp) 3263","pp",0.964823,-152.196,"3172 (pp) 3263"
"3172 (pp) 3213","pp","3172 (pp) 3213","pp",0.968817,-23.9641,"3172 (pp) 3213"
"3118 (pp) 3263","pp","3118 (pp) 3263","pp",0.974952,-196.222,"3118 (pp) 3263"
"3118 (pp) 3213","pp","3118 (pp) 3213","pp",0.976378,-67.99,"3118 (pp) 3213"
"3118 (pp) 3172","pp","3118 (pp) 3172","pp",0.964015,-44.026,"3118 (pp) 3172"
"3118 (pp) 3139","pp","3118 (pp) 3139","pp",0.965309,-14.016,"3118 (pp) 3139"
"2548 (pp) 3263","pp","2548 (pp) 3263","pp",0.808812,-338.333,"2548 (pp) 3263"
"1849 (pp) 2548","pp","1849 (pp) 2548","pp",0.803229,-82.097,"1849 (pp) 2548"
"3139 (pp) 3213","pp","3139 (pp) 3213","pp",0.946628,-53.974,"3139 (pp) 3213"
"3139 (pp) 3263","pp","3139 (pp) 3263","pp",0.94959,-182.206,"3139 (pp) 3263"
"2407 (pp) 2548","pp","2407 (pp) 2548","pp",0.804276,-28.035,"2407 (pp) 2548"
"2548 (pp) 3118","pp","2548 (pp) 3118","pp",0.810589,-142.111,"2548 (pp) 3118"
"3139 (pp) 3172","pp","3139 (pp) 3172","pp",0.937171,-30.01,"3139 (pp) 3172"
"2548 (pp) 3139","pp","2548 (pp) 3139","pp",0.85386,-156.127,"2548 (pp) 3139"
"1128 (pp) 2407","pp","1128 (pp) 2407","pp",0.721673,-120.012,"1128 (pp) 2407"
"2548 (pp) 3172","pp","2548 (pp) 3172","pp",0.801488,-186.137,"2548 (pp) 3172"
"2407 (pp) 2480","pp","2407 (pp) 2480","pp",0.796764,-14.013,"2407 (pp) 2480"
"2548 (pp) 3213","pp","2548 (pp) 3213","pp",0.805671,-210.101,"2548 (pp) 3213"
"979 (pp) 3213","pp","979 (pp) 3213","pp",0.727144,-372.177,"979 (pp) 3213"
"979 (pp) 3263","pp","979 (pp) 3263","pp",0.730691,-500.409,"979 (pp) 3263"
"979 (pp) 3118","pp","979 (pp) 3118","pp",0.73299,-304.187,"979 (pp) 3118"
"979 (pp) 3139","pp","979 (pp) 3139","pp",0.773504,-318.203,"979 (pp) 3139"
"779 (pp) 3139","pp","779 (pp) 3139","pp",0.778259,-332.2,"779 (pp) 3139"
"779 (pp) 3118","pp","779 (pp) 3118","pp",0.73323,-318.184,"779 (pp) 3118"
"779 (pp) 3213","pp","779 (pp) 3213","pp",0.726168,-386.174,"779 (pp) 3213"
"779 (pp) 3172","pp","779 (pp) 3172","pp",0.716039,-362.21,"779 (pp) 3172"
"979 (pp) 991","pp","979 (pp) 991","pp",0.779333,-0.999008,"979 (pp) 991"
"779 (pp) 3263","pp","779 (pp) 3263","pp",0.735044,-514.406,"779 (pp) 3263"
"979 (pp) 2548","pp","979 (pp) 2548","pp",0.805917,-162.076,"979 (pp) 2548"
"979 (pp) 1128","pp","979 (pp) 1128","pp",0.763108,-14.029,"979 (pp) 1128"
"473 (pp) 3118","pp","473 (pp) 3118","pp",0.813919,-332.202,"473 (pp) 3118"
"473 (pp) 2548","pp","473 (pp) 2548","pp",0.889747,-190.091,"473 (pp) 2548"
"473 (pp) 3172","pp","473 (pp) 3172","pp",0.796916,-376.228,"473 (pp) 3172"
"473 (pp) 3139","pp","473 (pp) 3139","pp",0.85807,-346.218,"473 (pp) 3139"
"473 (pp) 3263","pp","473 (pp) 3263","pp",0.812503,-528.424,"473 (pp) 3263"
"473 (pp) 3213","pp","473 (pp) 3213","pp",0.809239,-400.192,"473 (pp) 3213"
"779 (pp) 1691","pp","779 (pp) 1691","pp",0.727891,-79.968,"779 (pp) 1691"
"779 (pp) 979","pp","779 (pp) 979","pp",0.733037,-13.997,"779 (pp) 979"
"1691 (pp) 3139","pp","1691 (pp) 3139","pp",0.861235,-252.232,"1691 (pp) 3139"
"243 (pp) 473","pp","243 (pp) 473","pp",0.852487,-17.023,"243 (pp) 473"
"1691 (pp) 3118","pp","1691 (pp) 3118","pp",0.864451,-238.216,"1691 (pp) 3118"
"243 (pp) 779","pp","243 (pp) 779","pp",0.775907,-31.041,"243 (pp) 779"
"1691 (pp) 2548","pp","1691 (pp) 2548","pp",0.805315,-96.105,"1691 (pp) 2548"
"243 (pp) 979","pp","243 (pp) 979","pp",0.743079,-45.038,"243 (pp) 979"
"1691 (pp) 2480","pp","1691 (pp) 2480","pp",0.748675,-82.083,"1691 (pp) 2480"
"243 (pp) 1128","pp","243 (pp) 1128","pp",0.720769,-59.067,"243 (pp) 1128"
"243 (pp) 2407","pp","243 (pp) 2407","pp",0.799067,-179.079,"243 (pp) 2407"
"1691 (pp) 3263","pp","1691 (pp) 3263","pp",0.863877,-434.438,"1691 (pp) 3263"
"243 (pp) 3139","pp","243 (pp) 3139","pp",0.769053,-363.241,"243 (pp) 3139"
"473 (pp) 779","pp","473 (pp) 779","pp",0.878371,-14.018,"473 (pp) 779"
"1691 (pp) 3213","pp","1691 (pp) 3213","pp",0.871977,-306.206,"1691 (pp) 3213"
"473 (pp) 979","pp","473 (pp) 979","pp",0.810294,-28.015,"473 (pp) 979"
"1691 (pp) 3172","pp","1691 (pp) 3172","pp",0.853859,-282.242,"1691 (pp) 3172"
"2480 (pp) 3213","pp","2480 (pp) 3213","pp",0.741706,-224.123,"2480 (pp) 3213"
"2480 (pp) 3118","pp","2480 (pp) 3118","pp",0.741867,-156.133,"2480 (pp) 3118"
"1691 (pp) 2407","pp","1691 (pp) 2407","pp",0.732292,-68.07,"1691 (pp) 2407"
"2480 (pp) 3263","pp","2480 (pp) 3263","pp",0.743323,-352.355,"2480 (pp) 3263"
"241 (pp) 243","pp","241 (pp) 243","pp",0.818714,-0.984001,"241 (pp) 243"
"241 (pp) 473","pp","241 (pp) 473","pp",0.846741,-18.007,"241 (pp) 473"
